REGION,TECHNOLOGY,YEAR,VALUE,EMISSION,MODE_OF_OPERATION,TIMESLICE,FUEL,STORAGE,REGION.1
RE1,PWRNGS001_A,2042.0,0.200465020390445,,,,,,
RE1,PWRNGS001_A,2043.0,0.604945053357798,,,,,,
RE1,PWRNGS001_A,2044.0,1.12159128255029,,,,,,
RE1,PWRNGS001_A,2045.0,1.65229532404333,,,,,,
RE1,PWRNGS001_A,2046.0,2.33248430195096,,,,,,
RE1,PWRNGS001_A,2047.0,2.90966195590358,,,,,,
RE1,PWRNGS001_A,2048.0,3.47635861447486,,,,,,
RE1,PWRNGS001_A,2049.0,3.78140326541136,,,,,,
RE1,PWRNGS001_A,2050.0,3.78140326541136,,,,,,
RE1,PWRNGS001_A,2051.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2052.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2053.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2054.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2055.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2056.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2057.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2058.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2059.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2060.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2061.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2062.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2063.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2064.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2065.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2066.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2067.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2068.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2069.0,3.62948267583909,,,,,,
RE1,PWRNGS001_A,2070.0,3.62948267583909,,,,,,
RE1,PWRNGS002_A,2015.0,0.0020357619059862,,,,,,
RE1,PWRNGS002_A,2016.0,0.0020357619059862,,,,,,
RE1,PWRNGS002_A,2017.0,0.0020357619059862,,,,,,
RE1,PWRNGS002_A,2018.0,0.0020357619059862,,,,,,
RE1,PWRNGS002_A,2019.0,0.0020357619059862,,,,,,
RE1,PWRNGS002_A,2020.0,0.0121610874392162,,,,,,
RE1,PWRNGS002_A,2021.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2022.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2023.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2024.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2025.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2026.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2027.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2028.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2029.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2030.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2031.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2032.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2033.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2034.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2035.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2036.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2037.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2038.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2039.0,0.0880544496668988,,,,,,
RE1,PWRNGS002_A,2040.0,0.0860186877609125,,,,,,
RE1,PWRNGS002_A,2041.0,0.0860186877609125,,,,,,
RE1,PWRNGS002_A,2042.0,0.175760781441573,,,,,,
RE1,PWRNGS002_A,2043.0,0.249344144673521,,,,,,
RE1,PWRNGS002_A,2044.0,0.263397499838855,,,,,,
RE1,PWRNGS002_A,2045.0,0.253272174305625,,,,,,
RE1,PWRNGS002_A,2046.0,0.177378812077943,,,,,,
RE1,PWRNGS002_A,2047.0,0.177378812077943,,,,,,
RE1,PWRNGS002_A,2048.0,0.177378812077943,,,,,,
RE1,PWRNGS002_A,2049.0,0.41175242432872,,,,,,
RE1,PWRNGS002_A,2050.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2051.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2052.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2053.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2054.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2055.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2056.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2057.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2058.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2059.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2060.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2061.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2062.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2063.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2064.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2065.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2066.0,0.981331665622612,,,,,,
RE1,PWRNGS002_A,2067.0,0.891589571941952,,,,,,
RE1,PWRNGS002_A,2068.0,0.818006208710004,,,,,,
RE1,PWRNGS002_A,2069.0,0.80395285354467,,,,,,
RE1,PWRNGS002_A,2070.0,0.80395285354467,,,,,,
RE1,PWRTRN_A,2018.0,0.0703567590618392,,,,,,
RE1,PWRTRN_A,2019.0,0.168035958719543,,,,,,
RE1,PWRTRN_A,2020.0,0.265249808439817,,,,,,
RE1,PWRTRN_A,2021.0,0.3515226511814,,,,,,
RE1,PWRTRN_A,2022.0,0.443760693727807,,,,,,
RE1,PWRTRN_A,2023.0,0.542274556476644,,,,,,
RE1,PWRTRN_A,2024.0,0.64740229609791,,,,,,
RE1,PWRTRN_A,2025.0,0.759508641471557,,,,,,
RE1,PWRTRN_A,2026.0,0.90488941656093,,,,,,
RE1,PWRTRN_A,2027.0,1.05990604000601,,,,,,
RE1,PWRTRN_A,2028.0,1.22516915585116,,,,,,
RE1,PWRTRN_A,2029.0,1.40132294475574,,,,,,
RE1,PWRTRN_A,2030.0,1.58905543672564,,,,,,
RE1,PWRTRN_A,2031.0,1.79633462510533,,,,,,
RE1,PWRTRN_A,2032.0,2.01925518205432,,,,,,
RE1,PWRTRN_A,2033.0,2.25883581066628,,,,,,
RE1,PWRTRN_A,2034.0,2.51618310163811,,,,,,
RE1,PWRTRN_A,2035.0,2.88247779960483,,,,,,
RE1,PWRTRN_A,2036.0,3.20365441312004,,,,,,
RE1,PWRTRN_A,2037.0,3.54822208422225,,,,,,
RE1,PWRTRN_A,2038.0,3.91790152321799,,,,,,
RE1,PWRTRN_A,2039.0,4.31454292749977,,,,,,
RE1,PWRTRN_A,2040.0,4.74013244855146,,,,,,
RE1,PWRTRN_A,2041.0,5.08668251402787,,,,,,
RE1,PWRTRN_A,2042.0,5.45269244186398,,,,,,
RE1,PWRTRN_A,2043.0,5.83924837664475,,,,,,
RE1,PWRTRN_A,2044.0,6.24750572605308,,,,,,
RE1,PWRTRN_A,2045.0,6.67867218498052,,,,,,
RE1,PWRTRN_A,2046.0,7.14320278840447,,,,,,
RE1,PWRTRN_A,2047.0,7.63371307961807,,,,,,
RE1,PWRTRN_A,2048.0,8.15165514017825,,,,,,
RE1,PWRTRN_A,2049.0,8.69856133804451,,,,,,
RE1,PWRTRN_A,2050.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2051.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2052.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2053.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2054.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2055.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2056.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2057.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2058.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2059.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2060.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2061.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2062.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2063.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2064.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2065.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2066.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2067.0,9.27604719363825,,,,,,
RE1,PWRTRN_A,2068.0,9.20569043457641,,,,,,
RE1,PWRTRN_A,2069.0,9.1080112349187,,,,,,
RE1,PWRTRN_A,2070.0,9.01079738519843,,,,,,
RE1,PWRDIST_A,2019.0,0.0221543598375202,,,,,,
RE1,PWRDIST_A,2020.0,0.109327756160234,,,,,,
RE1,PWRDIST_A,2021.0,0.187423092878163,,,,,,
RE1,PWRDIST_A,2022.0,0.27106131464638,,,,,,
RE1,PWRDIST_A,2023.0,0.360551442175063,,,,,,
RE1,PWRDIST_A,2024.0,0.456229317711963,,,,,,
RE1,PWRDIST_A,2025.0,0.558457240905901,,,,,,
RE1,PWRDIST_A,2026.0,0.690334179327393,,,,,,
RE1,PWRDIST_A,2027.0,0.831296525488588,,,,,,
RE1,PWRDIST_A,2028.0,0.981946151459055,,,,,,
RE1,PWRDIST_A,2029.0,1.1429202053532,,,,,,
RE1,PWRDIST_A,2030.0,1.31490066081915,,,,,,
RE1,PWRDIST_A,2031.0,1.50461394022646,,,,,,
RE1,PWRDIST_A,2032.0,1.70907382849272,,,,,,
RE1,PWRDIST_A,2033.0,1.92928638589423,,,,,,
RE1,PWRDIST_A,2034.0,2.1663451264626,,,,,,
RE1,PWRDIST_A,2035.0,2.50195661933318,,,,,,
RE1,PWRDIST_A,2036.0,2.79860844674443,,,,,,
RE1,PWRDIST_A,2037.0,3.11761921053685,,,,,,
RE1,PWRDIST_A,2038.0,3.46069017407026,,,,,,
RE1,PWRDIST_A,2039.0,3.82965488036096,,,,,,
RE1,PWRDIST_A,2040.0,4.22648650095155,,,,,,
RE1,PWRDIST_A,2041.0,4.55342669526337,,,,,,
RE1,PWRDIST_A,2042.0,4.89954376533089,,,,,,
RE1,PWRDIST_A,2043.0,5.26595841379931,,,,,,
RE1,PWRDIST_A,2044.0,5.65386483201194,,,,,,
RE1,PWRDIST_A,2045.0,6.06451600227049,,,,,,
RE1,PWRDIST_A,2046.0,6.50766020037107,,,,,,
RE1,PWRDIST_A,2047.0,6.97673121114306,,,,,,
RE1,PWRDIST_A,2048.0,7.47324657620115,,,,,,
RE1,PWRDIST_A,2049.0,7.9988120235977,,,,,,
