REGION,TIMESLICE,FUEL,YEAR,VALUE
"RE1","S106","ELC003_A",2027,8.23076435309292
"RE1","S106","ELC003_A",2028,8.8033865553365
"RE1","S106","ELC003_A",2029,9.41525211192948
"RE1","S106","ELC003_A",2030,10.068953218171
"RE1","S106","ELC003_A",2031,10.7900571382721
"RE1","S106","ELC003_A",2032,11.5672132097545
"RE1","S106","ELC003_A",2033,12.4042454875888
"RE1","S106","ELC003_A",2034,13.3053104401958
"RE1","S106","ELC003_A",2035,14.5809763498044
"RE1","S106","ELC003_A",2036,15.7085558019108
"RE1","S106","ELC003_A",2037,16.9211220125832
"RE1","S106","ELC003_A",2038,18.2251415174364
"RE1","S106","ELC003_A",2039,19.6275836496708
"RE1","S106","ELC003_A",2040,21.1359484732716
"RE1","S106","ELC003_A",2041,22.3786546058808
"RE1","S106","ELC003_A",2042,23.6942524218024
"RE1","S106","ELC003_A",2043,25.0870017339144
"RE1","S106","ELC003_A",2044,26.5614416870868
"RE1","S106","ELC003_A",2045,28.1223348917832
"RE1","S106","ELC003_A",2046,29.8067347367424
"RE1","S106","ELC003_A",2047,31.5896829084792
"RE1","S106","ELC003_A",2048,33.4769476126284
"RE1","S106","ELC003_A",2049,35.4746322532152
"RE1","S106","ELC003_A",2050,37.5891893992548
"RE1","S107","ELC003_A",2015,3.27986151179544
"RE1","S107","ELC003_A",2016,3.4259943083328
"RE1","S107","ELC003_A",2017,3.69880343300592
"RE1","S107","ELC003_A",2018,3.97161140776956
"RE1","S107","ELC003_A",2019,4.24442053244268
"RE1","S107","ELC003_A",2020,4.51722850835623
"RE1","S107","ELC003_A",2021,4.76162681835708
"RE1","S107","ELC003_A",2022,5.02337151286373
"RE1","S107","ELC003_A",2023,5.30342966804868
"RE1","S107","ELC003_A",2024,5.60285229772692
"RE1","S107","ELC003_A",2025,5.92277321379564
"RE1","S107","ELC003_A",2026,6.33548032580556
"RE1","S107","ELC003_A",2027,6.77662009961796
"RE1","S107","ELC003_A",2028,7.24807608581117
"RE1","S107","ELC003_A",2029,7.75184223087324
"RE1","S107","ELC003_A",2030,8.29005276219941
"RE1","S107","ELC003_A",2031,8.88375792848011
"RE1","S107","ELC003_A",2032,9.52361240962183
"RE1","S107","ELC003_A",2033,10.2127646577808
"RE1","S107","ELC003_A",2034,10.954636810469
"RE1","S107","ELC003_A",2035,12.0049284811572
"RE1","S107","ELC003_A",2036,12.9332964007404
"RE1","S107","ELC003_A",2037,13.9316363121816
"RE1","S107","ELC003_A",2038,15.0052722963732
"RE1","S107","ELC003_A",2039,16.1599424016204
"RE1","S107","ELC003_A",2040,17.4018216418308
"RE1","S107","ELC003_A",2041,18.4249765998504
"RE1","S107","ELC003_A",2042,19.5081453336312
"RE1","S107","ELC003_A",2043,20.6548350670872
"RE1","S107","ELC003_A",2044,21.8687830060284
"RE1","S107","ELC003_A",2045,23.1539103417816
"RE1","S107","ELC003_A",2046,24.5407241728512
"RE1","S107","ELC003_A",2047,26.0086756168296
"RE1","S107","ELC003_A",2048,27.5625137998692
"RE1","S107","ELC003_A",2049,29.2072638263976
"RE1","S107","ELC003_A",2050,30.9482382782124
"RE1","S108","ELC003_A",2015,4.10783582966328
"RE1","S108","ELC003_A",2016,4.2908586601536
"RE1","S108","ELC003_A",2017,4.63253622579504
"RE1","S108","ELC003_A",2018,4.97421235124172
"RE1","S108","ELC003_A",2019,5.31588991688316
"RE1","S108","ELC003_A",2020,5.65756604377004
"RE1","S108","ELC003_A",2021,5.96366071603596
"RE1","S108","ELC003_A",2022,6.29148072625649
"RE1","S108","ELC003_A",2023,6.64223728110516
"RE1","S108","ELC003_A",2024,7.01724671427204
"RE1","S108","ELC003_A",2025,7.41792905923068
"RE1","S108","ELC003_A",2026,7.93482071937372
"RE1","S108","ELC003_A",2027,8.48732263515252
"RE1","S108","ELC003_A",2028,9.07779384414377
"RE1","S108","ELC003_A",2029,9.70873164838188
"RE1","S108","ELC003_A",2030,10.3828090435806
"RE1","S108","ELC003_A",2031,11.1263902422176
"RE1","S108","ELC003_A",2032,11.9277707742772
"RE1","S108","ELC003_A",2033,12.7908938930124
"RE1","S108","ELC003_A",2034,13.7200456266702
"RE1","S108","ELC003_A",2035,15.0354748729764
"RE1","S108","ELC003_A",2036,16.1982017105148
"RE1","S108","ELC003_A",2037,17.4485643991992
"RE1","S108","ELC003_A",2038,18.7932310407684
"RE1","S108","ELC003_A",2039,20.2393882070748
"RE1","S108","ELC003_A",2040,21.7947697439796
"RE1","S108","ELC003_A",2041,23.0762118355848
"RE1","S108","ELC003_A",2042,24.4328176917144
"RE1","S108","ELC003_A",2043,25.8689799063864
"RE1","S108","ELC003_A",2044,27.3893791125708
"RE1","S108","ELC003_A",2045,28.9989263743992
"RE1","S108","ELC003_A",2046,30.7358300588544
"RE1","S108","ELC003_A",2047,32.5743538855752
"RE1","S108","ELC003_A",2048,34.5204458589204
"RE1","S108","ELC003_A",2049,36.5803996299912
"RE1","S108","ELC003_A",2050,38.7608688985788
"RE2","S101","ELC003_B",2015,3.14433221398296
"RE2","S101","ELC003_B",2016,3.2844265618752
"RE2","S101","ELC003_B",2017,3.54596276268528
"RE2","S101","ELC003_B",2018,3.80749786110204
"RE2","S101","ELC003_B",2019,4.06903406191212
"RE2","S101","ELC003_B",2020,4.33056916143127
"RE2","S101","ELC003_B",2021,4.56486852938172
"RE2","S101","ELC003_B",2022,4.81579750056437
"RE2","S101","ELC003_B",2023,5.08428318996612
"RE2","S101","ELC003_B",2024,5.37133318177428
"RE2","S101","ELC003_B",2025,5.67803443690476
"RE2","S101","ELC003_B",2026,6.07368780902604
"RE2","S101","ELC003_B",2027,6.49659895837764
"RE2","S101","ELC003_B",2028,6.94857360411533
"RE2","S101","ELC003_B",2029,7.43152329956316
"RE2","S101","ELC003_B",2030,7.94749408231349
"RE2","S101","ELC003_B",2031,8.51666636999419
"RE2","S101","ELC003_B",2032,9.13008100658167
"RE2","S101","ELC003_B",2033,9.79075634498609
"RE2","S101","ELC003_B",2034,10.5019731143421
"RE2","S101","ELC003_B",2035,11.5088649975348
"RE2","S101","ELC003_B",2036,12.3988712205036
"RE2","S101","ELC003_B",2037,13.3559580769944
"RE2","S101","ELC003_B",2038,14.3852296480788
"RE2","S101","ELC003_B",2039,15.4921868764236
"RE2","S101","ELC003_B",2040,16.6827496141572
"RE2","S101","ELC003_B",2041,17.6636261184936
"RE2","S101","ELC003_B",2042,18.7020365302008
"RE2","S101","ELC003_B",2043,19.8013431489048
"RE2","S101","ELC003_B",2044,20.9651287528956
"RE2","S101","ELC003_B",2045,22.1971525033944
"RE2","S101","ELC003_B",2046,23.5266608951808
"RE2","S101","ELC003_B",2047,24.9339541596264
"RE2","S101","ELC003_B",2048,26.4235851811428
"RE2","S101","ELC003_B",2049,28.0003714185384
"RE2","S101","ELC003_B",2050,29.6694059289516
"RE2","S102","ELC003_B",2015,3.87552942385752
"RE2","S102","ELC003_B",2016,4.0482019439424
"RE2","S102","ELC003_B",2017,4.37055695373936
"RE2","S102","ELC003_B",2018,4.69291060478748
"RE2","S102","ELC003_B",2019,5.01526561458444
