REGION,TECHNOLOGY,FUEL,YEAR,VALUE
"RE1","PWROHC_A","ELC001_A",2020,1.99303194533994
"RE1","PWRNGS001_A","ELC001_A",2015,0.57021694342585
"RE1","PWRNGS001_A","ELC001_A",2016,0.485188236309181
"RE1","PWRNGS001_A","ELC001_A",2017,0.646917648412241
"RE1","PWRNGS001_A","ELC001_A",2018,0.63561971726698
"RE1","PWRNGS001_A","ELC001_A",2019,0.587672084923661
"RE1","PWRNGS001_A","ELC001_A",2020,0.646917648412241
"RE1","PWRNGS001_A","ELC001_A",2021,1.88956839361989
"RE1","PWRNGS001_A","ELC001_A",2022,1.87523317136232
"RE1","PWRNGS001_A","ELC001_A",2023,1.85311208462274
"RE1","PWRNGS001_A","ELC001_A",2024,1.80678298231175
"RE1","PWRNGS001_A","ELC001_A",2025,2.26811133974
"RE1","PWRNGS001_A","ELC001_A",2026,0.768274304969654
"RE1","PWRNGS001_A","ELC001_A",2027,0.445570145452762
"RE1","PWRNGS001_A","ELC001_A",2028,0.14411560648615
"RE1","PWRNGS001_A","ELC001_A",2029,0.22050363905383
"RE1","PWRNGS001_A","ELC001_A",2030,0.144397097102248
"RE1","PWRNGS001_A","ELC001_A",2031,0.418103979928663
"RE1","PWRNGS001_A","ELC001_A",2032,0.51094719049436
"RE1","PWRNGS001_A","ELC001_A",2033,0.610729081649299
"RE1","PWRNGS001_A","ELC001_A",2034,0.717910532526791
"RE1","PWRNGS001_A","ELC001_A",2035,0.870467013803702
"RE1","PWRNGS001_A","ELC001_A",2036,0.99187342332828
"RE1","PWRNGS001_A","ELC001_A",2037,0.890451862565976
"RE1","PWRNGS001_A","ELC001_A",2038,1.05055620693986
"RE1","PWRNGS001_A","ELC001_A",2039,0.706290489361205
"RE1","PWRNGS001_A","ELC001_A",2040,0.785266760699038
"RE1","PWRNGS001_A","ELC001_A",2041,0.84355830940742
"RE1","PWRNGS001_A","ELC001_A",2042,1.4572798581466
"RE1","PWRNGS001_A","ELC001_A",2043,7.41546926366322
"RE1","PWRNGS001_A","ELC001_A",2044,15.4825611172998
"RE1","PWRNGS001_A","ELC001_A",2045,28.6435739056546
"RE1","PWRNGS001_A","ELC001_A",2046,46.2986382295866
"RE1","PWRNGS001_A","ELC001_A",2047,63.6516482312341
"RE1","PWRNGS001_A","ELC001_A",2048,81.657260066421
"RE1","PWRNGS001_A","ELC001_A",2049,97.229305871808
"RE1","PWRNGS001_A","ELC001_A",2050,100.784228671703
"RE1","PWRNGS002_A","ELC001_A",2015,0.0203468804158084
"RE1","PWRNGS002_A","ELC001_A",2016,0.0203468804158084
"RE1","PWRNGS002_A","ELC001_A",2017,0.00678229347193612
"RE1","PWRNGS002_A","ELC001_A",2018,0.0203468804158084
"RE1","PWRNGS002_A","ELC001_A",2019,0.0203468804158084
"RE1","PWRNGS002_A","ELC001_A",2020,0.12154672465592
"RE1","PWRNGS002_A","ELC001_A",2021,0.293360003148998
"RE1","PWRNGS002_A","ELC001_A",2022,0.293360003148998
"RE1","PWRNGS002_A","ELC001_A",2023,0.293360003148998
"RE1","PWRNGS002_A","ELC001_A",2024,0.293360003148998
"RE1","PWRNGS002_A","ELC001_A",2025,0.293360003148998
"RE1","PWRNGS002_A","ELC001_A",2041,0.0900944787229409
"RE1","PWRNGS002_A","ELC001_A",2042,0.585560225431208
"RE1","PWRNGS002_A","ELC001_A",2043,0.830708718790686
"RE1","PWRNGS002_A","ELC001_A",2044,0.877528525525633
"RE1","PWRNGS002_A","ELC001_A",2045,0.843795244112263
"RE1","PWRNGS002_A","ELC001_A",2046,0.590950815848571
"RE1","PWRNGS002_A","ELC001_A",2047,0.590950815848571
"RE1","PWRNGS002_A","ELC001_A",2048,0.590950815848571
"RE1","PWRNGS002_A","ELC001_A",2049,2.47769889881392
"RE1","PWRNGS002_A","ELC001_A",2050,15.4249096059361
"RE1","PWRTRN_A","ELC002_A",2015,33.4253644778224
"RE1","PWRTRN_A","ELC002_A",2016,34.7790626683013
"RE1","PWRTRN_A","ELC002_A",2017,37.4627148970904
"RE1","PWRTRN_A","ELC002_A",2018,40.1337024610696
"RE1","PWRTRN_A","ELC002_A",2019,42.7920486566994
"RE1","PWRTRN_A","ELC002_A",2020,45.4377303214963
"RE1","PWRTRN_A","ELC002_A",2021,47.7856517222852
"RE1","PWRTRN_A","ELC002_A",2022,50.3621242596338
"RE1","PWRTRN_A","ELC002_A",2023,52.9769780591893
"RE1","PWRTRN_A","ELC002_A",2024,55.8380367867043
"RE1","PWRTRN_A","ELC002_A",2025,58.8890187539433
"RE1","PWRTRN_A","ELC002_A",2026,62.845566634463
"RE1","PWRTRN_A","ELC002_A",2027,67.0643547965148
"RE1","PWRTRN_A","ELC002_A",2028,71.5620019601321
"RE1","PWRTRN_A","ELC002_A",2029,76.3560395466525
"RE1","PWRTRN_A","ELC002_A",2030,81.4651923404215
"RE1","PWRTRN_A","ELC002_A",2031,87.1063098331255
"RE1","PWRTRN_A","ELC002_A",2032,93.1731082566349
"RE1","PWRTRN_A","ELC002_A",2033,99.6933116863215
"RE1","PWRTRN_A","ELC002_A",2034,106.697036064776
"RE1","PWRTRN_A","ELC002_A",2035,116.665771683326
"RE1","PWRTRN_A","ELC002_A",2036,125.406615503253
"RE1","PWRTRN_A","ELC002_A",2037,134.784048578272
"RE1","PWRTRN_A","ELC002_A",2038,144.844900158759
"RE1","PWRTRN_A","ELC002_A",2039,155.639523495116
"RE1","PWRTRN_A","ELC002_A",2040,167.221971837776
"RE1","PWRTRN_A","ELC002_A",2041,176.653355913227
"RE1","PWRTRN_A","ELC002_A",2042,186.614341492915
"RE1","PWRTRN_A","ELC002_A",2043,197.134488077076
"RE1","PWRTRN_A","ELC002_A",2044,208.245240165962
"RE1","PWRTRN_A","ELC002_A",2045,219.979465259836
"RE1","PWRTRN_A","ELC002_A",2046,232.621697860974
"RE1","PWRTRN_A","ELC002_A",2047,245.970969467768
"RE1","PWRTRN_A","ELC002_A",2048,260.066798580534
"RE1","PWRTRN_A","ELC002_A",2049,274.950888699607
