REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"RE1","S101","MINHYD_A",1,2026,6.23539702935403
"RE1","S101","MINHYD_A",1,2027,6.23539702935403
"RE1","S101","MINHYD_A",1,2028,3.42384526261123
"RE1","S101","MINHYD_A",1,2029,3.42384526261123
"RE1","S101","MINHYD_A",1,2030,3.42384526261123
"RE1","S101","MINHYD_A",1,2031,3.42384526261123
"RE1","S101","MINHYD_A",1,2032,3.42384526261123
"RE1","S101","MINHYD_A",1,2033,3.42384526261123
"RE1","S101","MINHYD_A",1,2034,3.42384526261123
"RE1","S101","MINHYD_A",1,2035,3.42384526261123
"RE1","S101","MINHYD_A",1,2036,3.42384526261123
"RE1","S101","MINHYD_A",1,2037,1.32455327677661
"RE1","S101","MINHYD_A",1,2038,1.32455327677661
"RE1","S101","MINHYD_A",1,2039,1.32455327677661
"RE1","S101","PWRHYD_A",1,2015,6.23539702935403
"RE1","S101","PWRHYD_A",1,2016,6.23539702935403
"RE1","S101","PWRHYD_A",1,2017,6.23539702935403
"RE1","S101","PWRHYD_A",1,2018,6.23539702935403
"RE1","S101","PWRHYD_A",1,2019,6.23539702935403
"RE1","S101","PWRHYD_A",1,2020,6.23539702935403
"RE1","S101","PWRHYD_A",1,2021,6.23539702935403
"RE1","S101","PWRHYD_A",1,2022,6.23539702935403
"RE1","S101","PWRHYD_A",1,2023,6.23539702935403
"RE1","S101","PWRHYD_A",1,2024,6.23539702935403
"RE1","S101","PWRHYD_A",1,2025,6.23539702935403
"RE1","S101","PWRHYD_A",1,2026,6.23539702935403
"RE1","S101","PWRHYD_A",1,2027,6.23539702935403
"RE1","S101","PWRHYD_A",1,2028,3.42384526261123
"RE1","S101","PWRHYD_A",1,2029,3.42384526261123
"RE1","S101","PWRHYD_A",1,2030,3.42384526261123
"RE1","S101","PWRHYD_A",1,2031,3.42384526261123
"RE1","S101","PWRHYD_A",1,2032,3.42384526261123
"RE1","S101","PWRHYD_A",1,2033,3.42384526261123
"RE1","S101","PWRHYD_A",1,2034,3.42384526261123
"RE1","S101","PWRHYD_A",1,2035,3.42384526261123
"RE1","S101","PWRHYD_A",1,2036,3.42384526261123
"RE1","S101","PWRHYD_A",1,2037,1.32455327677661
"RE1","S101","PWRHYD_A",1,2038,1.32455327677661
"RE1","S101","PWRHYD_A",1,2039,1.32455327677661
"RE1","S101","MINGEO_A",1,2015,31.3978468760044
"RE1","S101","MINGEO_A",1,2016,31.3978468760044
"RE1","S101","MINGEO_A",1,2017,32.473764073597
"RE1","S101","MINGEO_A",1,2018,35.6987276646182
"RE1","S101","MINGEO_A",1,2019,39.9642053347221
"RE1","S101","MINGEO_A",1,2020,43.1397142946094
"RE1","S101","MINGEO_A",1,2021,47.5182656838258
"RE1","S101","MINGEO_A",1,2022,51.1191116858597
"RE1","S101","MINGEO_A",1,2023,52.9796621233189
"RE1","S101","MINGEO_A",1,2024,52.9796621233189
"RE1","S101","MINGEO_A",1,2025,52.9796621233189
"RE1","S101","MINGEO_A",1,2026,63.1764126232703
"RE1","S101","MINGEO_A",1,2027,68.0597146669619
"RE1","S101","MINGEO_A",1,2028,76.7802393320748
"RE1","S101","MINGEO_A",1,2029,82.329400049451
"RE1","S101","MINGEO_A",1,2030,88.2433107083855
"RE1","S101","MINGEO_A",1,2031,94.46518020126
"RE1","S101","MINGEO_A",1,2032,101.790262614124
"RE1","S101","MINGEO_A",1,2033,109.662788473235
"RE1","S101","MINGEO_A",1,2034,118.119119916581
"RE1","S101","MINGEO_A",1,2035,130.155420591244
"RE1","S101","MINGEO_A",1,2036,140.709158637134
"RE1","S101","MINGEO_A",1,2037,154.35859369092
"RE1","S101","MINGEO_A",1,2038,166.004159952388
"RE1","S101","MINGEO_A",1,2039,178.49907654324
"RE1","S101","MINGEO_A",1,2040,190.67290974666
"RE1","S101","MINGEO_A",1,2041,201.03698450061
"RE1","S101","MINGEO_A",1,2042,199.961067303017
"RE1","S101","MINGEO_A",1,2043,196.736103711996
"RE1","S101","MINGEO_A",1,2044,192.470626041892
"RE1","S101","MINGEO_A",1,2045,189.295117082005
"RE1","S101","MINGEO_A",1,2046,184.426849574035
"RE1","S101","MINGEO_A",1,2047,181.315719690754
"RE1","S101","MINGEO_A",1,2048,179.455169253295
"RE1","S101","MINGEO_A",1,2049,179.455169253295
"RE1","S101","MINGEO_A",1,2050,179.455169253295
"RE1","S101","PWRGEO_A",1,2015,25.1182775008035
"RE1","S101","PWRGEO_A",1,2016,25.1182775008035
"RE1","S101","PWRGEO_A",1,2017,25.9790112588776
"RE1","S101","PWRGEO_A",1,2018,28.5589821316945
"RE1","S101","PWRGEO_A",1,2019,31.9713642677777
"RE1","S101","PWRGEO_A",1,2020,34.5117714356875
"RE1","S101","PWRGEO_A",1,2021,38.0146125470606
"RE1","S101","PWRGEO_A",1,2022,40.8952893486877
"RE1","S101","PWRGEO_A",1,2023,42.3837296986551
"RE1","S101","PWRGEO_A",1,2024,42.3837296986551
"RE1","S101","PWRGEO_A",1,2025,42.3837296986551
"RE1","S101","PWRGEO_A",1,2026,50.5411300986162
"RE1","S101","PWRGEO_A",1,2027,54.4477717335695
"RE1","S101","PWRGEO_A",1,2028,61.4241914656598
"RE1","S101","PWRGEO_A",1,2029,65.8635200395608
"RE1","S101","PWRGEO_A",1,2030,70.5946485667084
"RE1","S101","PWRGEO_A",1,2031,75.572144161008
"RE1","S101","PWRGEO_A",1,2032,81.4322100912992
"RE1","S101","PWRGEO_A",1,2033,87.7302307785881
"RE1","S101","PWRGEO_A",1,2034,94.4952959332652
"RE1","S101","PWRGEO_A",1,2035,104.124336472996
"RE1","S101","PWRGEO_A",1,2036,112.567326909707
"RE1","S101","PWRGEO_A",1,2037,123.486874952736
